A1	0xE000
G43	0xE171
G43a	0xE172
G44	0xE173
G45	0xE174
G45a	0xE175
G46	0xE176
G47	0xE177
G48	0xE178
G49	0xE179
G50	0xE17A
G51	0xE17B
G52	0xE17C
G53	0xE17D
G54	0xE17E
H1	0xE17F
H2	0xE180
H3	0xE181
H4	0xE182
H5	0xE183
H6	0xE184
H6a	0xE185
H7	0xE186
H8	0xE187
I1	0xE188
I2	0xE189
I3	0xE18A
I4	0xE18B
I5	0xE18C
I5a	0xE18D
I6	0xE18E
I7	0xE18F
I8	0xE190
I9	0xE191
I9a	0xE192
I10	0xE193
I10a	0xE194
I11	0xE195
I11a	0xE196
I12	0xE197
I13	0xE198
I14	0xE199
I15	0xE19A
K1	0xE19B
K2	0xE19C
K3	0xE19D
K4	0xE19E
K5	0xE19F
K6	0xE1A0
K7	0xE1A1
K8	0xE1A2
L1	0xE1A3
L2	0xE1A4
L2a	0xE1A5
L3	0xE1A6
L4	0xE1A7
L5	0xE1A8
L6	0xE1A9
L6a	0xE1AA
L7	0xE1AB
L8	0xE1AC
M1	0xE1AD
M1a	0xE1AE
M1b	0xE1AF
M2	0xE1B0
M3	0xE1B1
M3a	0xE1B2
M4	0xE1B3
M5	0xE1B4
M6	0xE1B5
M7	0xE1B6
M8	0xE1B7
M9	0xE1B8
M10	0xE1B9
M10a	0xE1BA
M11	0xE1BB
M12	0xE1BC
M12a	0xE1BD
M12b	0xE1BE
M12c	0xE1BF
M12d	0xE1C0
M12e	0xE1C1
M12f	0xE1C2
M12g	0xE1C3
M12h	0xE1C4
M13	0xE1C5
M14	0xE1C6
M15	0xE1C7
M15a	0xE1C8
M16	0xE1C9
M16a	0xE1CA
M17	0xE1CB
M17a	0xE1CC
M18	0xE1CD
M19	0xE1CE
M20	0xE1CF
M21	0xE1D0
M22	0xE1D1
M22a	0xE1D2
M23	0xE1D3
M24	0xE1D4
M24a	0xE1D5
M25	0xE1D6
M26	0xE1D7
M27	0xE1D8
M28	0xE1D9
M28a	0xE1DA
M29	0xE1DB
M30	0xE1DC
M31	0xE1DD
M31a	0xE1DE
M32	0xE1DF
M33	0xE1E0
M33a	0xE1E1
M33b	0xE1E2
M34	0xE1E3
M35	0xE1E4
M36	0xE1E5
M37	0xE1E6
M38	0xE1E7
M39	0xE1E8
M40	0xE1E9
M40a	0xE1EA
M41	0xE1EB
M42	0xE1EC
M43	0xE1ED
M44	0xE1EE
N1	0xE1EF
N2	0xE1F0
N3	0xE1F1
N4	0xE1F2
N5	0xE1F3
N6	0xE1F4
N7	0xE1F5
N8	0xE1F6
N9	0xE1F7
N10	0xE1F8
N11	0xE1F9
N12	0xE1FA
N13	0xE1FB
N14	0xE1FC
N15	0xE1FD
N16	0xE1FE
N17	0xE1FF
N18	0xE200
N18a	0xE201
N18b	0xE202
N19	0xE203
N20	0xE204
N21	0xE205
N22	0xE206
N23	0xE207
N24	0xE208
N25	0xE209
N25a	0xE20A
N26	0xE20B
N27	0xE20C
N28	0xE20D
N29	0xE20E
N30	0xE20F
N31	0xE210
N32	0xE211
N33	0xE212
N33a	0xE213
N34	0xE214
N34a	0xE215
N35	0xE216
N35a	0xE217
N36	0xE218
N37	0xE219
N37a	0xE21A
N38	0xE21B
N39	0xE21C
N40	0xE21D
N41	0xE21E
N42	0xE21F
NL1	0xE220
NL2	0xE221
NL3	0xE222
NL4	0xE223
NL5	0xE224
NL5a	0xE225
NL6	0xE226
NL7	0xE227
NL8	0xE228
NL9	0xE229
NL10	0xE22A
NL11	0xE22B
NL12	0xE22C
NL13	0xE22D
NL14	0xE22E
NL15	0xE22F
NL16	0xE230
NL17	0xE231
NL17a	0xE232
NL18	0xE233
NL19	0xE234
NL20	0xE235
NU1	0xE236
NU2	0xE237
NU3	0xE238
NU4	0xE239
NU5	0xE23A
NU6	0xE23B
NU7	0xE23C
NU8	0xE23D
NU9	0xE23E
NU10	0xE23F
NU10a	0xE240
NU11	0xE241
NU11a	0xE242
NU12	0xE243
NU13	0xE244
NU14	0xE245
NU15	0xE246
NU16	0xE247
NU17	0xE248
NU18	0xE249
NU18a	0xE24A
NU19	0xE24B
NU20	0xE24C
NU21	0xE24D
NU22	0xE24E
NU22a	0xE24F
O1	0xE250
O1a	0xE251
O2	0xE252
O3	0xE253
O4	0xE254
O5	0xE255
O5a	0xE256
O6	0xE257
O6a	0xE258
O6b	0xE259
O6c	0xE25A
O6d	0xE25B
O6e	0xE25C
O6f	0xE25D
O7	0xE25E
O8	0xE25F
O9	0xE260
O10	0xE261
O10a	0xE262
O10b	0xE263
O10c	0xE264
O11	0xE265
O12	0xE266
O13	0xE267
O14	0xE268
O15	0xE269
O16	0xE26A
O17	0xE26B
O18	0xE26C
O19	0xE26D
O19a	0xE26E
O20	0xE26F
O20a	0xE270
O21	0xE271
O22	0xE272
O23	0xE273
O24	0xE274
O24a	0xE275
O25	0xE276
O25a	0xE277
O26	0xE278
O27	0xE279
O28	0xE27A
O29	0xE27B
O29a	0xE27C
O30	0xE27D
O30a	0xE27E
O31	0xE27F
O32	0xE280
O33	0xE281
O33a	0xE282
O34	0xE283
O35	0xE284
O36	0xE285
O36a	0xE286
O36b	0xE287
O36c	0xE288
O36d	0xE289
O37	0xE28A
O38	0xE28B
O39	0xE28C
O40	0xE28D
O41	0xE28E
O42	0xE28F
O43	0xE290
O44	0xE291
O45	0xE292
O46	0xE293
O47	0xE294
O48	0xE295
O49	0xE296
O50	0xE297
O50a	0xE298
O50b	0xE299
O51	0xE29A
P1	0xE29B
P1a	0xE29C
P2	0xE29D
P3	0xE29E
P3a	0xE29F
P4	0xE2A0
P5	0xE2A1
P6	0xE2A2
P7	0xE2A3
P8	0xE2A4
P9	0xE2A5
P10	0xE2A6
P11	0xE2A7
Q1	0xE2A8
Q2	0xE2A9
Q3	0xE2AA
Q4	0xE2AB
Q5	0xE2AC
Q6	0xE2AD
Q7	0xE2AE
R1	0xE2AF
R2	0xE2B0
R2a	0xE2B1
R3	0xE2B2
R3a	0xE2B3
R3b	0xE2B4
R4	0xE2B5
R5	0xE2B6
R6	0xE2B7
R7	0xE2B8
R8	0xE2B9
R9	0xE2BA
R10	0xE2BB
R10a	0xE2BC
R11	0xE2BD
R12	0xE2BE
R13	0xE2BF
R14	0xE2C0
R15	0xE2C1
R16	0xE2C2
R16a	0xE2C3
R17	0xE2C4
R18	0xE2C5
R19	0xE2C6
R20	0xE2C7
R21	0xE2C8
R22	0xE2C9
R23	0xE2CA
R24	0xE2CB
R25	0xE2CC
R26	0xE2CD
R27	0xE2CE
R28	0xE2CF
R29	0xE2D0
S1	0xE2D1
S2	0xE2D2
S2a	0xE2D3
S3	0xE2D4
S4	0xE2D5
S5	0xE2D6
S6	0xE2D7
S6a	0xE2D8
S7	0xE2D9
S8	0xE2DA
S9	0xE2DB
S10	0xE2DC
S11	0xE2DD
S12	0xE2DE
S13	0xE2DF
S14	0xE2E0
S14a	0xE2E1
S14b	0xE2E2
S15	0xE2E3
S16	0xE2E4
S17	0xE2E5
S17a	0xE2E6
S18	0xE2E7
S19	0xE2E8
S20	0xE2E9
S21	0xE2EA
S22	0xE2EB
S23	0xE2EC
S24	0xE2ED
S25	0xE2EE
S26	0xE2EF
S26a	0xE2F0
S26b	0xE2F1
S27	0xE2F2
S28	0xE2F3
S29	0xE2F4
S30	0xE2F5
S31	0xE2F6
S32	0xE2F7
S33	0xE2F8
S34	0xE2F9
S35	0xE2FA
S35a	0xE2FB
S36	0xE2FC
S37	0xE2FD
S38	0xE2FE
S39	0xE2FF
S40	0xE300
S41	0xE301
S42	0xE302
S43	0xE303
S44	0xE304
S45	0xE305
S46	0xE306
T1	0xE307
T2	0xE308
T3	0xE309
T3a	0xE30A
T4	0xE30B
T5	0xE30C
T6	0xE30D
T7	0xE30E
T7a	0xE30F
T8	0xE310
T8a	0xE311
T9	0xE312
T9a	0xE313
T10	0xE314
T11	0xE315
T11a	0xE316
T12	0xE317
T13	0xE318
T14	0xE319
T15	0xE31A
T16	0xE31B
T16a	0xE31C
T17	0xE31D
T18	0xE31E
T19	0xE31F
T20	0xE320
T21	0xE321
T22	0xE322
T23	0xE323
T24	0xE324
T25	0xE325
T26	0xE326
T27	0xE327
T28	0xE328
T29	0xE329
T30	0xE32A
T31	0xE32B
T32	0xE32C
T32a	0xE32D
T33	0xE32E
T33a	0xE32F
T34	0xE330
T35	0xE331
T36	0xE332
U1	0xE333
U2	0xE334
U3	0xE335
U4	0xE336
U5	0xE337
U6	0xE338
U6a	0xE339
U6b	0xE33A
U7	0xE33B
U8	0xE33C
U9	0xE33D
U10	0xE33E
U11	0xE33F
U12	0xE340
U13	0xE341
U14	0xE342
U15	0xE343
U16	0xE344
U17	0xE345
U18	0xE346
U19	0xE347
U20	0xE348
U21	0xE349
U22	0xE34A
U23	0xE34B
U23a	0xE34C
U24	0xE34D
U25	0xE34E
U26	0xE34F
U27	0xE350
U28	0xE351
U29	0xE352
U29a	0xE353
U30	0xE354
U31	0xE355
U32	0xE356
U32a	0xE357
U33	0xE358
U34	0xE359
U35	0xE35A
U36	0xE35B
U37	0xE35C
U38	0xE35D
U39	0xE35E
U40	0xE35F
U41	0xE360
U42	0xE361
V1	0xE362
V1a	0xE363
V1b	0xE364
V1c	0xE365
V1d	0xE366
V1e	0xE367
V1f	0xE368
V1g	0xE369
V1h	0xE36A
V1i	0xE36B
V2	0xE36C
V2a	0xE36D
V3	0xE36E
V4	0xE36F
V5	0xE370
V6	0xE371
V7	0xE372
V7a	0xE373
V7b	0xE374
V8	0xE375
V9	0xE376
V10	0xE377
V11	0xE378
V11a	0xE379
V11b	0xE37A
V11c	0xE37B
V12	0xE37C
V12a	0xE37D
V12b	0xE37E
V13	0xE37F
V14	0xE380
V15	0xE381
V16	0xE382
V17	0xE383
V18	0xE384
V19	0xE385
V20	0xE386
V20a	0xE387
V20b	0xE388
V20c	0xE389
V20d	0xE38A
V20e	0xE38B
V20f	0xE38C
V20g	0xE38D
V20h	0xE38E
V20i	0xE38F
V20j	0xE390
V20k	0xE391
V20l	0xE392
V21	0xE393
V22	0xE394
V23	0xE395
V23a	0xE396
V24	0xE397
V25	0xE398
V26	0xE399
V27	0xE39A
V28	0xE39B
V28a	0xE39C
V29	0xE39D
V29a	0xE39E
V30	0xE39F
V30a	0xE3A0
V31	0xE3A1
V31a	0xE3A2
V32	0xE3A3
V33	0xE3A4
V33a	0xE3A5
V34	0xE3A6
V35	0xE3A7
V36	0xE3A8
V37	0xE3A9
V37a	0xE3AA
V38	0xE3AB
V39	0xE3AC
V40	0xE3AD
V40a	0xE3AE
W1	0xE3AF
W2	0xE3B0
W3	0xE3B1
W3a	0xE3B2
W4	0xE3B3
W5	0xE3B4
W6	0xE3B5
W7	0xE3B6
W8	0xE3B7
W9	0xE3B8
W9a	0xE3B9
W10	0xE3BA
W10a	0xE3BB
W11	0xE3BC
W12	0xE3BD
W13	0xE3BE
W14	0xE3BF
W14a	0xE3C0
W15	0xE3C1
W16	0xE3C2
W17	0xE3C3
W17a	0xE3C4
W18	0xE3C5
W18a	0xE3C6
W19	0xE3C7
W20	0xE3C8
W21	0xE3C9
W22	0xE3CA
W23	0xE3CB
W24	0xE3CC
W24a	0xE3CD
W25	0xE3CE
X1	0xE3CF
X2	0xE3D0
X3	0xE3D1
X4	0xE3D2
X4a	0xE3D3
X4b	0xE3D4
X5	0xE3D5
X6	0xE3D6
X6a	0xE3D7
X7	0xE3D8
X8	0xE3D9
X8a	0xE3DA
Y1	0xE3DB
Y1a	0xE3DC
Y2	0xE3DD
Y3	0xE3DE
Y4	0xE3DF
Y5	0xE3E0
Y6	0xE3E1
Y7	0xE3E2
Y8	0xE3E3
Z1	0xE3E4
Z2	0xE3E5
Z2a	0xE3E6
Z2b	0xE3E7
Z2c	0xE3E8
Z2d	0xE3E9
Z3	0xE3EA
Z3a	0xE3EB
Z3b	0xE3EC
Z4	0xE3ED
Z4a	0xE3EE
Z5	0xE3EF
Z5a	0xE3F0
Z6	0xE3F1
Z7	0xE3F2
Z8	0xE3F3
Z9	0xE3F4
Z10	0xE3F5
Z11	0xE3F6
Z12	0xE3F7
Z13	0xE3F8
Z14	0xE3F9
Z15	0xE3FA
Z15a	0xE3FB
Z15b	0xE3FC
Z15c	0xE3FD
Z15d	0xE3FE
Z15e	0xE3FF
Z15f	0xE400
Z15g	0xE401
Z15h	0xE402
Z15i	0xE403
Z16	0xE404
Z16a	0xE405
Z16b	0xE406
Z16c	0xE407
Z16d	0xE408
Z16e	0xE409
Z16f	0xE40A
Z16g	0xE40B
Z16h	0xE40C
Aa1	0xE40D
Aa2	0xE40E
Aa3	0xE40F
Aa4	0xE410
Aa5	0xE411
Aa6	0xE412
Aa7	0xE413
Aa7a	0xE414
Aa7b	0xE415
Aa8	0xE416
Aa9	0xE417
Aa10	0xE418
Aa11	0xE419
Aa12	0xE41A
Aa13	0xE41B
Aa14	0xE41C
Aa15	0xE41D
Aa16	0xE41E
Aa17	0xE41F
Aa18	0xE420
Aa19	0xE421
Aa20	0xE422
Aa21	0xE423
Aa22	0xE424
Aa23	0xE425
Aa24	0xE426
Aa25	0xE427
Aa26	0xE428
Aa27	0xE429
Aa28	0xE42A
Aa29	0xE42B
Aa30	0xE42C
Aa31	0xE42D
Aa32	0xE42E
